Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
A006850100_136516	58989418.0	202.0	26589710.0	45.08	200.17	14195477.0	14185411.0	14067470.0	106766.0	14523.0	6718.0	0.16	0.01	1.76	0.01	1.59	4612902.0	7.82	52522.0	0.09	0.05	46.91	0.05	29498	27675287	29498
A006850100_136518	57147556.0	202.0	16197941.0	28.34	199.42	8394241.0	8383669.0	8310370.0	67935.0	8363.0	7573.0	0.19	0.02	2.91	0.01	1.45	16371391.0	28.65	64974.0	0.11	0.15	42.66	0.08	85731	24381796	45723
A006850100_136520	63450177.0	202.0	22744672.0	35.85	200.05	12019538.0	12009237.0	11912126.0	88514.0	12477.0	6421.0	0.16	0.01	1.83	0.01	1.6	4991915.0	7.87	57951.0	0.09	0.05	56.1	0.04	31728	35598529	25382
A006850100_136522	69628637.0	202.0	24754746.0	35.55	200.05	13125010.0	13114470.0	13005667.0	98341.0	14251.0	6751.0	0.16	0.01	1.76	0.01	1.58	4919958.0	7.07	55041.0	0.08	0.04	57.22	0.04	27853	39843187	27853
A006850100_136524	64881111.0	202.0	23378574.0	36.03	200.02	12520134.0	12510189.0	12405816.0	94330.0	13492.0	6496.0	0.15	0.01	1.77	0.01	1.61	3944276.0	6.08	46466.0	0.07	0.04	57.74	0.04	25951	37459894	25951
A006850100_136526	63914333.0	202.0	40553926.0	63.45	200.22	22453018.0	22439003.0	22250493.0	170890.0	21212.0	10423.0	0.15	0.01	1.77	0.01	1.6	7691075.0	12.03	74761.0	0.12	0.06	24.3	0.04	38347	15530659	25565
A006850100_136528	56429480.0	202.0	35248855.0	62.47	200.2	19560077.0	19547584.0	19385583.0	146519.0	18774.0	9201.0	0.15	0.01	1.75	0.01	1.6	7364051.0	13.05	66063.0	0.12	0.06	24.26	0.05	33854	13688445	28212
A006850100_136530	57685933.0	202.0	34921982.0	60.54	200.09	19525819.0	19513616.0	19350516.0	146916.0	18927.0	9460.0	0.15	0.01	1.77	0.01	1.6	7110300.0	12.33	64691.0	0.11	0.07	26.92	0.04	40371	15525520	23069
A006850100_136532	53744648.0	202.0	29997441.0	55.81	200.07	16482237.0	16470931.0	16334204.0	124312.0	15484.0	8237.0	0.15	0.01	1.78	0.01	1.6	7016065.0	13.05	59333.0	0.11	0.06	30.91	0.04	32258	16618046	21505
A006850100_136534	65943747.0	202.0	37353333.0	56.64	200.04	20507754.0	20493559.0	20323902.0	154415.0	19347.0	10090.0	0.16	0.01	1.77	0.01	1.6	7310413.0	11.09	71229.0	0.11	0.07	32.05	0.04	46163	21136230	26379
A006850100_136536	70602767.0	202.0	39867079.0	56.47	199.89	21835887.0	21820748.0	21640422.0	164027.0	20407.0	11031.0	0.15	0.01	1.77	0.01	1.6	8209695.0	11.63	79274.0	0.11	0.07	31.67	0.06	49411	22354956	42352
